application-positionExternalId,application-candidateExternalId,application-Stage
"64772","71021","FIRST_INTERVIEW"
"64772","72182","FIRST_INTERVIEW"
"64772","75305","FIRST_INTERVIEW"
"64781","49667","FIRST_INTERVIEW"
"64781","65803","OFFERED"
"65176","57643","FIRST_INTERVIEW"
"65176","65791","FIRST_INTERVIEW"
"65176","67884","FIRST_INTERVIEW"
"65176","69595","SENT"
"65292","65291","FIRST_INTERVIEW"
"65292","65448","SHORTLISTED"
"65435","64753","SHORTLISTED"
"65435","65529","SHORTLISTED"
"65435","65735","SHORTLISTED"
"65435","66121","SENT"
"65435","66135","SHORTLISTED"
"65549","48484","SHORTLISTED"
"65549","65322","OFFERED"
"65657","61225","FIRST_INTERVIEW"
"65773","65322","SHORTLISTED"
"65773","66551","SHORTLISTED"
"66559","66551","SHORTLISTED"
"66560","64105","SHORTLISTED"
"66560","69028","SHORTLISTED"
"66562","66112","SHORTLISTED"
"66562","68730","SHORTLISTED"
"66562","69166","SHORTLISTED"
"66563","57243","SHORTLISTED"
"66563","69421","SHORTLISTED"
"66563","69447","SHORTLISTED"
"66563","69552","SHORTLISTED"
"66877","67419","SHORTLISTED"
"67220","43564","FIRST_INTERVIEW"
"67220","66551","FIRST_INTERVIEW"
"67638","77512","FIRST_INTERVIEW"
"67693","66410","SHORTLISTED"
"67693","73111","SHORTLISTED"
"67695","68431","SHORTLISTED"
"67698","43914","SHORTLISTED"
"67698","68729","SHORTLISTED"
"67928","51173","FIRST_INTERVIEW"
"67975","68002","SHORTLISTED"
"67975","68107","SHORTLISTED"
"67975","68367","SHORTLISTED"
"67975","69172","FIRST_INTERVIEW"
"67975","69322","SHORTLISTED"
"68006","43276","FIRST_INTERVIEW"
"68006","66410","FIRST_INTERVIEW"
"68006","71198","SHORTLISTED"
"68006","71809","FIRST_INTERVIEW"
"68006","76372","FIRST_INTERVIEW"
"68006","81021","FIRST_INTERVIEW"
"68675","68673","SENT"
"68675","68798","SENT"
"68840","69017","SHORTLISTED"
"68840","69863","SHORTLISTED"
