application-positionExternalId,application-candidateExternalId,application-Stage,actioned_date
"62519","66026","FIRST_INTERVIEW","2008-10-15"
"62519","68762","SHORTLISTED","2008-10-20"
"62680","40733","SHORTLISTED","2009-01-05"
"62680","62836","SHORTLISTED","2008-08-29"
"62680","63000","SHORTLISTED","2008-09-08"
"62680","63833","SHORTLISTED","2008-09-04"
"62680","64101","SHORTLISTED","2008-09-08"
"62680","71165","SHORTLISTED","2008-11-14"
"62680","71299","SHORTLISTED","2008-11-12"
"62680","71313","SHORTLISTED","2008-11-12"
"62680","71390","SHORTLISTED","2008-11-12"
"62680","71555","SHORTLISTED","2008-11-21"
"62680","72089","SHORTLISTED","2008-11-19"
"62680","75443","SHORTLISTED","2009-01-07"
"62849","62850","SHORTLISTED","2008-08-29"
"62849","66112","SENT","2008-10-01"
"62855","62785","SENT","2008-08-29"
"62855","62786","SENT","2008-08-29"
"62855","62801","OFFERED","2008-09-15"
"62855","62803","SENT","2008-08-29"
"62855","62819","SENT","2008-08-29"
"62983","43445","FIRST_INTERVIEW","2008-09-16"
"62983","43587","FIRST_INTERVIEW","2008-09-08"
"62983","43628","FIRST_INTERVIEW","2008-09-08"
"62983","47969","FIRST_INTERVIEW","2008-09-08"
"62983","57405","SHORTLISTED","2008-10-07"
"63212","51994","SHORTLISTED","2008-09-03"
"63538","64180","OFFERED","2008-09-25"
"63558","44516","SHORTLISTED","2008-09-03"
"63558","56653","OFFERED","2008-09-10"
"63558","63736","SHORTLISTED","2008-09-10"
"63567","41654","OFFERED","2008-09-02"
"63643","43587","SENT","2008-09-03"
"63789","68730","SENT","2008-10-14"
"64085","62304","SENT","2008-09-15"
"64085","64024","SENT","2008-09-08"
"64087","64024","SHORTLISTED","2008-09-10"
"64087","65411","SHORTLISTED","2008-10-01"
"64125","64260","SHORTLISTED","2008-09-17"
"64125","65679","SHORTLISTED","2008-09-23"
"64125","66367","SHORTLISTED","2009-01-06"
"64125","66766","SHORTLISTED","2008-10-02"
"64125","67490","SHORTLISTED","2008-10-10"
"64125","68211","SHORTLISTED","2008-10-23"
"64125","69044","SHORTLISTED","2008-10-17"
"64125","69052","SHORTLISTED","2008-10-17"
"64125","69197","SHORTLISTED","2008-10-20"
"64125","69479","SHORTLISTED","2009-01-22"
"64125","70277","SHORTLISTED","2008-11-19"
"64125","70343","SHORTLISTED","2008-11-24"
"64125","72536","FIRST_INTERVIEW","2009-02-03"
"64125","72681","SHORTLISTED","2008-11-24"
"64125","72700","SHORTLISTED","2008-11-24"
"64125","76757","SENT","2009-01-28"
"64126","64277","SHORTLISTED","2008-09-17"
"64126","65713","SHORTLISTED","2008-09-30"
"64126","65785","OFFERED","2008-10-07"
"64126","66026","SHORTLISTED","2008-09-25"
"64126","66202","SHORTLISTED","2008-09-26"
"64126","67490","SENT","2008-10-06"
"64126","67857","SENT","2008-10-07"
"64222","64228","SHORTLISTED","2008-09-09"
"64222","64853","SHORTLISTED","2008-09-18"
"64222","65998","SHORTLISTED","2008-09-25"
"64222","66613","SHORTLISTED","2008-10-07"
"64222","68062","SHORTLISTED","2008-10-09"
"64222","75243","SENT","2009-01-05"
"64288","64290","FIRST_INTERVIEW","2008-09-10"
"64331","43908","SHORTLISTED","2008-09-10"
"64331","57338","SHORTLISTED","2008-10-13"
