application-positionExternalId,application-candidateExternalId,application-stage
953,140,SHORTLISTED
245,140,SHORTLISTED
300,140,SHORTLISTED
457,140,SHORTLISTED
510,140,SHORTLISTED
229,141,SHORTLISTED
35,141,SHORTLISTED
2108,141,SHORTLISTED
47,141,SHORTLISTED
291,141,SHORTLISTED
236,141,SHORTLISTED
42,141,SHORTLISTED
62,141,SHORTLISTED
457,141,SHORTLISTED
217,142,SHORTLISTED
388,142,SHORTLISTED
196,142,SHORTLISTED
289,142,SHORTLISTED
353,142,SHORTLISTED
11,142,SHORTLISTED
78,142,SHORTLISTED
229,142,SHORTLISTED
284,142,SHORTLISTED
949,142,SHORTLISTED
2308,142,SHORTLISTED
290,142,SHORTLISTED
665,142,SHORTLISTED
198,142,SHORTLISTED
230,142,SHORTLISTED
